sku,product_name,brand_owner,brand,brand_tier,category,business_mode,inventory_risk_owner,msrp,standard_cost,take_rate,gross_margin_target,season,product_lifecycle,price_band,gender_segment,age_segment,color_family,size_group,style_type,core_or_seasonal,clearance_flag,replenishable_flag,launch_date
SKU00020,Salomon Kids Apparel Specific,External Brand,Salomon,Tier 3,Kids Apparel,Consignment,Brand Partner,457.65,12.97,0.2059,0.2019,Spring,New,Mass,Women,Young Adult,Brown,M-L,Performance,Seasonal,0,0,2025-04-08
SKU00021,The North Face Outdoor Apparel Brother,External Brand,The North Face,Tier 3,Outdoor Apparel,Buyout,Himaxx,1244.57,100.62,1.0,0.2943,Winter,Clearance,Premium,Unisex,Adult,Black,M-L,Clearance,Seasonal,1,0,2024-03-24
SKU00022,Reebok Underwear Outdoor Apparel Coach,External Brand,Reebok Underwear,Tier 2,Outdoor Apparel,Buyout,Himaxx,1618.99,282.92,1.0,0.3416,Core,Growth,Luxury,Unisex,Young Adult,Grey,XL-XXL,Fashion,Seasonal,0,1,2024-09-15
SKU00023,Brand A Outdoor Apparel Seven,Himaxx Own,Brand A,Tier 2,Outdoor Apparel,Own Brand,Himaxx,1593.14,237.34,1.0,0.46,Fall,Growth,Premium,Men,Youth,Blue,M-L,Performance,Seasonal,0,1,2025-12-22
SKU00024,Nike Lifestyle Apparel Everyone,External Brand,Nike,Tier 1,Lifestyle Apparel,Consignment,Brand Partner,1039.44,20.65,0.202,0.2935,Summer,Clearance,Premium,Men,Young Adult,White,M-L,Clearance,Seasonal,1,0,2026-04-06
SKU00025,Under Armour Performance Apparel Sound,External Brand,Under Armour,Tier 3,Performance Apparel,Consignment,Brand Partner,2204.84,44.55,0.2345,0.2863,Fall,Mature,Luxury,Kids,Young Adult,Blue,XS-S,Fashion,Seasonal,0,1,2023-11-19
SKU00026,Brand A Performance Apparel While,Himaxx Own,Brand A,Tier 2,Performance Apparel,Own Brand,Himaxx,1186.89,240.32,1.0,0.4306,Winter,Clearance,Premium,Women,Young Adult,Blue,M-L,Core Basic,Seasonal,1,0,2023-09-01
SKU00027,Brand A Performance Apparel Process,Himaxx Own,Brand A,Tier 2,Performance Apparel,Own Brand,Himaxx,1985.65,376.08,1.0,0.5412,Core,Clearance,Luxury,Unisex,Young Adult,Grey,M-L,Performance,Seasonal,1,0,2024-03-29
SKU00028,Asics Outdoor Apparel Purpose,External Brand,Asics,Tier 3,Outdoor Apparel,Buyout,Himaxx,1118.96,180.83,1.0,0.4651,Summer,Growth,Premium,Men,Youth,White,XL-XXL,Limited,Seasonal,0,1,2024-11-13
SKU00029,Adidas Bags Decide,External Brand,Adidas,Tier 1,Bags,Consignment,Brand Partner,745.09,13.19,0.2519,0.2062,Winter,Clearance,Mass,Women,Senior,Multi,XS-S,Core Basic,Seasonal,1,0,2023-10-22
SKU00030,Cole Haan Basketball Shoes Sound,External Brand,Cole Haan,Tier 2,Basketball Shoes,Consignment,Brand Partner,1261.49,54.62,0.252,0.21,Summer,New,Premium,Women,Adult,Blue,M-L,Clearance,Seasonal,1,0,2023-10-31
SKU00031,Brand B Running Shoes Start,Himaxx Own,Brand B,Tier 2,Running Shoes,Own Brand,Himaxx,522.76,113.54,1.0,0.4296,Fall,Mature,Mass,Women,Young Adult,Black,M-L,Fashion,Seasonal,0,1,2026-02-11
SKU00032,Cole Haan Bags Why,External Brand,Cole Haan,Tier 2,Bags,Consignment,Brand Partner,782.33,31.26,0.2635,0.3162,Core,Growth,Mass,Unisex,Young Adult,Brown,XS-S,Core Basic,Core,0,1,2023-05-08
SKU00033,Lululemon Outdoor Apparel Game,External Brand,Lululemon,Tier 1,Outdoor Apparel,Consignment,Brand Partner,300.04,12.3,0.2909,0.1859,Spring,Growth,Mass,Unisex,Young Adult,Black,XL-XXL,Limited,Seasonal,0,1,2024-10-24
SKU00034,Lululemon Yoga Apparel Brother,External Brand,Lululemon,Tier 1,Yoga Apparel,Consignment,Brand Partner,590.54,11.99,0.2657,0.3079,Core,Mature,Mass,Unisex,Young Adult,White,XS-S,Core Basic,Core,0,1,2026-02-18
SKU00035,Reebok Underwear Performance Apparel Unit,External Brand,Reebok Underwear,Tier 2,Performance Apparel,Buyout,Himaxx,651.58,105.76,1.0,0.3496,Spring,New,Mass,Kids,Young Adult,Blue,M-L,Fashion,Seasonal,0,0,2026-04-20
SKU00036,Brand A Performance Apparel Surface,Himaxx Own,Brand A,Tier 2,Performance Apparel,Own Brand,Himaxx,2044.72,258.65,1.0,0.514,Core,Growth,Luxury,Men,Adult,Grey,M-L,Limited,Seasonal,0,1,2024-04-08
SKU00037,Reebok Underwear Yoga Apparel Article,External Brand,Reebok Underwear,Tier 2,Yoga Apparel,Buyout,Himaxx,832.82,88.29,1.0,0.3547,Spring,Mature,Premium,Unisex,Adult,Grey,M-L,Core Basic,Core,0,1,2024-01-26
SKU00038,Lululemon Training Shoes Our,External Brand,Lululemon,Tier 1,Training Shoes,Consignment,Brand Partner,1278.65,12.84,0.3321,0.2161,Summer,New,Premium,Women,Young Adult,Brown,M-L,Fashion,Seasonal,0,0,2026-03-09
SKU00039,Brand B Yoga Apparel Bed,Himaxx Own,Brand B,Tier 2,Yoga Apparel,Own Brand,Himaxx,380.76,47.01,1.0,0.5199,Spring,Mature,Mass,Men,Youth,Black,M-L,Core Basic,Core,0,1,2025-07-17
SKU00040,Adidas Accessories Team,External Brand,Adidas,Tier 1,Accessories,Consignment,Brand Partner,315.46,7.66,0.2838,0.225,Core,New,Mass,Men,Adult,Brown,XS-S,Core Basic,Seasonal,0,0,2023-07-22
SKU00041,Adidas Yoga Apparel Soon,External Brand,Adidas,Tier 1,Yoga Apparel,Consignment,Brand Partner,1126.29,48.2,0.3494,0.2694,Winter,Mature,Premium,Men,Young Adult,White,One Size,Performance,Seasonal,0,1,2024-12-11
SKU00042,Cole Haan Performance Apparel Car,External Brand,Cole Haan,Tier 2,Performance Apparel,Consignment,Brand Partner,1296.28,63.3,0.2476,0.2447,Spring,Mature,Premium,Women,Young Adult,White,XS-S,Core Basic,Core,0,1,2023-09-25
SKU00043,Brand A Running Shoes May,Himaxx Own,Brand A,Tier 2,Running Shoes,Own Brand,Himaxx,865.27,131.33,1.0,0.5083,Fall,Growth,Premium,Kids,Senior,White,M-L,Fashion,Seasonal,0,1,2026-03-09
SKU00044,On Running Sportswear Company,External Brand,On Running,Tier 1,Sportswear,Buyout,Himaxx,777.65,89.1,1.0,0.3446,Fall,Growth,Mass,Men,Young Adult,Red,M-L,Core Basic,Core,0,1,2024-02-22
SKU00045,On Running Kids Apparel Turn,External Brand,On Running,Tier 1,Kids Apparel,Consignment,Brand Partner,1096.34,37.16,0.1889,0.2937,Winter,Clearance,Premium,Kids,Young Adult,Brown,M-L,Core Basic,Seasonal,1,0,2025-03-02
SKU00046,Nike Performance Apparel Development,External Brand,Nike,Tier 1,Performance Apparel,Consignment,Brand Partner,352.06,15.52,0.2592,0.2644,Winter,Mature,Mass,Men,Adult,White,XL-XXL,Fashion,Seasonal,0,1,2026-02-18
SKU00047,On Running Running Shoes Someone,External Brand,On Running,Tier 1,Running Shoes,Consignment,Brand Partner,1406.38,44.24,0.3438,0.3441,Summer,Mature,Premium,Unisex,Young Adult,Blue,XL-XXL,Fashion,Seasonal,0,1,2025-07-15
SKU00048,Adidas Sportswear Deep,External Brand,Adidas,Tier 1,Sportswear,Consignment,Brand Partner,789.34,27.07,0.2429,0.2522,Core,Clearance,Mass,Women,Youth,Green,XL-XXL,Core Basic,Seasonal,1,0,2025-06-26
SKU00049,Asics Bags Inside,External Brand,Asics,Tier 3,Bags,Buyout,Himaxx,927.64,138.23,1.0,0.2908,Core,Growth,Premium,Unisex,Young Adult,Blue,XS-S,Fashion,Seasonal,0,1,2026-05-01
SKU00050,Lululemon Performance Apparel Rate,External Brand,Lululemon,Tier 1,Performance Apparel,Consignment,Brand Partner,675.95,9.38,0.2488,0.341,Summer,Growth,Mass,Unisex,Senior,Black,M-L,Limited,Seasonal,0,1,2024-06-19
SKU00051,Salomon Sportswear We,External Brand,Salomon,Tier 3,Sportswear,Buyout,Himaxx,171.0,30.67,1.0,0.4897,Fall,Mature,Entry,Men,Adult,White,One Size,Core Basic,Core,0,1,2024-11-24
SKU00052,Brand B Kids Apparel Camera,Himaxx Own,Brand B,Tier 2,Kids Apparel,Own Brand,Himaxx,266.48,53.34,1.0,0.3889,Core,New,Entry,Women,Adult,Grey,M-L,Fashion,Seasonal,0,0,2024-02-03
SKU00053,Nike Basketball Shoes Attack,External Brand,Nike,Tier 1,Basketball Shoes,Consignment,Brand Partner,645.17,31.34,0.3274,0.196,Core,Growth,Mass,Unisex,Adult,Multi,XL-XXL,Clearance,Seasonal,1,0,2024-05-12
SKU00054,Adidas Performance Apparel Per,External Brand,Adidas,Tier 1,Performance Apparel,Consignment,Brand Partner,1385.99,67.74,0.2621,0.2998,Winter,Clearance,Premium,Women,Young Adult,White,M-L,Core Basic,Seasonal,1,0,2025-01-03
SKU00055,Adidas Underwear Per,External Brand,Adidas,Tier 1,Underwear,Consignment,Brand Partner,657.41,7.5,0.215,0.2068,Winter,Mature,Mass,Kids,Young Adult,Grey,One Size,Clearance,Seasonal,1,0,2024-01-04
SKU00056,New Balance Underwear Avoid,External Brand,New Balance,Tier 3,Underwear,Buyout,Himaxx,137.0,18.75,1.0,0.4781,Spring,Growth,Entry,Women,Adult,Black,XL-XXL,Performance,Seasonal,0,1,2025-06-21
SKU00057,Brand A Accessories Artist,Himaxx Own,Brand A,Tier 2,Accessories,Own Brand,Himaxx,307.74,39.12,1.0,0.4595,Core,New,Mass,Kids,Young Adult,Red,M-L,Core Basic,Seasonal,0,0,2024-01-13
SKU00058,Skechers Basketball Shoes Western,External Brand,Skechers,Tier 3,Basketball Shoes,Consignment,Brand Partner,964.19,37.48,0.3392,0.2087,Winter,Growth,Premium,Men,Youth,Grey,M-L,Fashion,Seasonal,0,1,2023-06-11
SKU00059,Columbia Outdoor Apparel Give,External Brand,Columbia,Tier 3,Outdoor Apparel,Buyout,Himaxx,1254.89,108.78,1.0,0.3982,Core,Growth,Premium,Men,Adult,Black,One Size,Fashion,Seasonal,0,1,2023-07-24
SKU00060,Brand A Outdoor Apparel Economy,Himaxx Own,Brand A,Tier 2,Outdoor Apparel,Own Brand,Himaxx,419.66,74.61,1.0,0.5454,Fall,Mature,Mass,Women,Adult,Brown,M-L,Core Basic,Core,0,1,2024-03-07
SKU00061,Brooks Brothers Kids Apparel Mention,External Brand,Brooks Brothers,Tier 1,Kids Apparel,Consignment,Brand Partner,562.97,23.92,0.3052,0.266,Winter,Growth,Mass,Women,Young Adult,Red,XS-S,Core Basic,Core,0,1,2023-12-28
SKU00062,Salomon Training Shoes Cause,External Brand,Salomon,Tier 3,Training Shoes,Consignment,Brand Partner,753.36,36.34,0.2136,0.2063,Winter,New,Mass,Men,Adult,Brown,XL-XXL,Performance,Seasonal,0,0,2025-07-08
SKU00063,Puma Kids Apparel Us,External Brand,Puma,Tier 3,Kids Apparel,Buyout,Himaxx,301.49,33.42,1.0,0.2818,Summer,Growth,Mass,Women,Adult,Black,M-L,Performance,Seasonal,0,1,2025-01-22
SKU00064,Reebok Underwear Training Shoes Material,External Brand,Reebok Underwear,Tier 2,Training Shoes,Buyout,Himaxx,1465.72,170.14,1.0,0.2941,Core,Growth,Premium,Women,Young Adult,White,XL-XXL,Core Basic,Core,0,1,2024-01-29
SKU00065,Asics Sportswear Material,External Brand,Asics,Tier 3,Sportswear,Buyout,Himaxx,483.47,50.09,1.0,0.4408,Spring,Growth,Mass,Kids,Young Adult,Blue,XL-XXL,Clearance,Seasonal,1,0,2025-10-08
SKU00066,Hoka Yoga Apparel Customer,External Brand,Hoka,Tier 1,Yoga Apparel,Buyout,Himaxx,1055.0,92.96,1.0,0.254,Core,Growth,Premium,Women,Young Adult,White,M-L,Fashion,Seasonal,0,1,2023-08-19
SKU00067,Cole Haan Performance Apparel Reason,External Brand,Cole Haan,Tier 2,Performance Apparel,Buyout,Himaxx,1885.01,263.02,1.0,0.4682,Spring,Clearance,Luxury,Unisex,Young Adult,White,M-L,Performance,Seasonal,1,0,2024-08-22
SKU00068,Brand B Yoga Apparel Land,Himaxx Own,Brand B,Tier 2,Yoga Apparel,Own Brand,Himaxx,780.69,93.98,1.0,0.3988,Summer,Growth,Mass,Men,Senior,White,XL-XXL,Performance,Seasonal,0,1,2024-07-31
SKU00069,Under Armour Bags Treat,External Brand,Under Armour,Tier 3,Bags,Consignment,Brand Partner,569.6,8.89,0.3185,0.2952,Spring,Clearance,Mass,Men,Young Adult,Multi,M-L,Fashion,Seasonal,1,0,2025-07-14
SKU00070,Columbia Bags Report,External Brand,Columbia,Tier 3,Bags,Consignment,Brand Partner,1279.59,55.54,0.1807,0.2162,Summer,Growth,Premium,Women,Senior,Black,XS-S,Fashion,Seasonal,0,1,2025-04-22
SKU00071,Cole Haan Kids Apparel Race,External Brand,Cole Haan,Tier 2,Kids Apparel,Buyout,Himaxx,1003.08,67.2,1.0,0.2989,Spring,Growth,Premium,Women,Young Adult,Brown,M-L,Performance,Seasonal,0,1,2023-08-23
SKU00072,Brand B Training Shoes Interesting,Himaxx Own,Brand B,Tier 2,Training Shoes,Own Brand,Himaxx,923.36,119.58,1.0,0.5325,Fall,Clearance,Premium,Unisex,Youth,Grey,XS-S,Core Basic,Seasonal,1,0,2025-07-13
SKU00073,The North Face Basketball Shoes Such,External Brand,The North Face,Tier 3,Basketball Shoes,Consignment,Brand Partner,1578.89,32.59,0.2233,0.2266,Summer,Mature,Premium,Men,Senior,White,M-L,Limited,Seasonal,0,1,2025-12-06
SKU00074,Champion Outdoor Apparel Energy,External Brand,Champion,Tier 3,Outdoor Apparel,Buyout,Himaxx,1577.5,159.47,1.0,0.4793,Spring,Mature,Premium,Unisex,Adult,Black,XS-S,Limited,Seasonal,0,1,2023-12-03
SKU00075,Skechers Training Shoes Not,External Brand,Skechers,Tier 3,Training Shoes,Consignment,Brand Partner,565.78,26.9,0.255,0.3038,Winter,Mature,Mass,Unisex,Adult,Red,XL-XXL,Performance,Seasonal,0,1,2024-09-10
SKU00076,Asics Yoga Apparel Knowledge,External Brand,Asics,Tier 3,Yoga Apparel,Buyout,Himaxx,717.36,99.19,1.0,0.3488,Spring,Mature,Mass,Unisex,Adult,White,XL-XXL,Performance,Seasonal,0,1,2023-11-24
SKU00077,Lululemon Kids Apparel Maintain,External Brand,Lululemon,Tier 1,Kids Apparel,Buyout,Himaxx,1252.93,215.24,1.0,0.496,Spring,Mature,Premium,Women,Adult,Grey,One Size,Core Basic,Core,0,1,2024-02-05
SKU00078,Champion Accessories Wind,External Brand,Champion,Tier 3,Accessories,Buyout,Himaxx,571.68,101.76,1.0,0.4709,Core,Growth,Mass,Men,Adult,White,M-L,Performance,Seasonal,0,1,2023-07-29
SKU00079,Cole Haan Performance Apparel System,External Brand,Cole Haan,Tier 2,Performance Apparel,Buyout,Himaxx,1722.84,162.99,1.0,0.2638,Spring,Mature,Luxury,Women,Adult,Black,M-L,Clearance,Seasonal,1,0,2025-12-06
SKU00080,Nike Sportswear Oil,External Brand,Nike,Tier 1,Sportswear,Consignment,Brand Partner,1142.93,51.92,0.2703,0.2167,Winter,Mature,Premium,Unisex,Young Adult,Black,XS-S,Clearance,Seasonal,1,0,2023-08-23
SKU00081,Reebok Underwear Training Shoes Reach,External Brand,Reebok Underwear,Tier 2,Training Shoes,Consignment,Brand Partner,1090.1,30.5,0.2143,0.2889,Winter,Growth,Premium,Unisex,Adult,White,M-L,Core Basic,Core,0,1,2026-05-06
SKU00082,Brand B Basketball Shoes Think,Himaxx Own,Brand B,Tier 2,Basketball Shoes,Own Brand,Himaxx,1597.47,192.17,1.0,0.4029,Core,Growth,Premium,Men,Young Adult,Black,One Size,Core Basic,Core,0,1,2023-05-24
SKU00083,Adidas Underwear Better,External Brand,Adidas,Tier 1,Underwear,Consignment,Brand Partner,563.65,25.53,0.2688,0.2885,Core,Mature,Mass,Unisex,Young Adult,White,M-L,Core Basic,Core,0,1,2026-02-15
SKU00084,Cole Haan Kids Apparel Time,External Brand,Cole Haan,Tier 2,Kids Apparel,Buyout,Himaxx,417.23,33.26,1.0,0.4215,Summer,Clearance,Mass,Unisex,Youth,Red,M-L,Core Basic,Seasonal,1,0,2024-01-21
SKU00085,Brooks Brothers Accessories Investment,External Brand,Brooks Brothers,Tier 1,Accessories,Buyout,Himaxx,440.3,59.63,1.0,0.4055,Core,Growth,Mass,Women,Adult,Black,XL-XXL,Performance,Seasonal,0,1,2024-10-20
SKU00086,Brooks Brothers Accessories Different,External Brand,Brooks Brothers,Tier 1,Accessories,Buyout,Himaxx,344.42,35.21,1.0,0.3602,Spring,New,Mass,Unisex,Young Adult,Green,M-L,Performance,Seasonal,0,0,2025-12-09
SKU00087,The North Face Underwear Weight,External Brand,The North Face,Tier 3,Underwear,Consignment,Brand Partner,655.78,20.43,0.3054,0.2823,Fall,Mature,Mass,Men,Adult,Grey,One Size,Fashion,Seasonal,0,1,2023-07-11
SKU00088,The North Face Performance Apparel Hundred,External Brand,The North Face,Tier 3,Performance Apparel,Buyout,Himaxx,660.77,59.15,1.0,0.2501,Core,Growth,Mass,Women,Adult,Red,XS-S,Fashion,Seasonal,0,1,2023-05-10
SKU00089,Puma Training Shoes In,External Brand,Puma,Tier 3,Training Shoes,Buyout,Himaxx,1213.63,174.95,1.0,0.3531,Core,Growth,Premium,Unisex,Young Adult,Brown,M-L,Performance,Seasonal,0,1,2024-02-22
SKU00090,Cole Haan Sportswear Step,External Brand,Cole Haan,Tier 2,Sportswear,Buyout,Himaxx,464.66,34.23,1.0,0.3956,Core,Growth,Mass,Kids,Senior,Grey,M-L,Limited,Seasonal,0,1,2025-09-13
SKU00091,Brand B Outdoor Apparel Feeling,Himaxx Own,Brand B,Tier 2,Outdoor Apparel,Own Brand,Himaxx,1356.08,184.95,1.0,0.46,Summer,Clearance,Premium,Kids,Senior,Brown,XL-XXL,Core Basic,Seasonal,1,0,2024-08-13
SKU00092,Skechers Accessories Side,External Brand,Skechers,Tier 3,Accessories,Buyout,Himaxx,402.3,48.61,1.0,0.4373,Fall,Mature,Mass,Women,Young Adult,Black,XS-S,Limited,Seasonal,0,1,2026-05-01
SKU00093,Columbia Running Shoes Only,External Brand,Columbia,Tier 3,Running Shoes,Consignment,Brand Partner,1119.18,25.35,0.2915,0.2101,Summer,New,Premium,Men,Youth,Black,M-L,Core Basic,Seasonal,0,0,2025-05-01
SKU00094,Cole Haan Training Shoes Message,External Brand,Cole Haan,Tier 2,Training Shoes,Buyout,Himaxx,977.09,55.17,1.0,0.4507,Spring,Growth,Premium,Unisex,Youth,Black,One Size,Fashion,Seasonal,0,1,2023-10-24
SKU00095,Puma Lifestyle Apparel Fine,External Brand,Puma,Tier 3,Lifestyle Apparel,Consignment,Brand Partner,977.04,47.02,0.231,0.264,Summer,Mature,Premium,Women,Young Adult,Black,XS-S,Fashion,Seasonal,0,1,2024-01-01
SKU00096,Reebok Underwear Sportswear Article,External Brand,Reebok Underwear,Tier 2,Sportswear,Buyout,Himaxx,882.49,139.14,1.0,0.4526,Spring,Mature,Premium,Unisex,Youth,Grey,M-L,Core Basic,Core,0,1,2025-01-31
SKU00097,Nike Lifestyle Apparel Occur,External Brand,Nike,Tier 1,Lifestyle Apparel,Consignment,Brand Partner,613.3,26.36,0.2142,0.3374,Summer,New,Mass,Kids,Youth,Brown,One Size,Core Basic,Seasonal,0,0,2023-07-13
SKU00098,Reebok Underwear Bags Former,External Brand,Reebok Underwear,Tier 2,Bags,Consignment,Brand Partner,1557.99,20.45,0.2844,0.3245,Core,Mature,Premium,Women,Young Adult,Grey,XS-S,Performance,Seasonal,0,1,2023-07-09
SKU00099,Adidas Bags Pattern,External Brand,Adidas,Tier 1,Bags,Buyout,Himaxx,860.46,95.7,1.0,0.4924,Winter,Mature,Premium,Unisex,Young Adult,Black,XS-S,Fashion,Seasonal,0,1,2024-10-11
SKU00100,Brand B Underwear Wide,Himaxx Own,Brand B,Tier 2,Underwear,Own Brand,Himaxx,228.15,33.17,1.0,0.5629,Winter,Clearance,Entry,Men,Adult,Brown,M-L,Performance,Seasonal,1,0,2025-11-26
SKU00101,Brand B Underwear Coach,Himaxx Own,Brand B,Tier 2,Underwear,Own Brand,Himaxx,152.04,21.4,1.0,0.3678,Spring,Mature,Entry,Women,Adult,White,M-L,Limited,Seasonal,0,1,2023-07-09
SKU00102,Lululemon Outdoor Apparel Movie,External Brand,Lululemon,Tier 1,Outdoor Apparel,Consignment,Brand Partner,2204.95,32.27,0.2632,0.3305,Core,Mature,Luxury,Men,Young Adult,Blue,XS-S,Core Basic,Core,0,1,2023-08-03
SKU00103,Puma Basketball Shoes Cultural,External Brand,Puma,Tier 3,Basketball Shoes,Buyout,Himaxx,1077.44,89.65,1.0,0.4036,Fall,Growth,Premium,Women,Adult,Black,XS-S,Core Basic,Core,0,1,2023-07-22
SKU00104,The North Face Outdoor Apparel Author,External Brand,The North Face,Tier 3,Outdoor Apparel,Consignment,Brand Partner,1054.68,35.59,0.2676,0.1837,Summer,Mature,Premium,Women,Young Adult,Black,XL-XXL,Clearance,Seasonal,1,0,2025-05-16
SKU00105,Nike Performance Apparel Easy,External Brand,Nike,Tier 1,Performance Apparel,Buyout,Himaxx,868.62,124.42,1.0,0.4823,Winter,Mature,Premium,Kids,Youth,Grey,M-L,Core Basic,Core,0,1,2024-07-23
SKU00106,Skechers Training Shoes Year,External Brand,Skechers,Tier 3,Training Shoes,Buyout,Himaxx,987.26,78.14,1.0,0.3699,Core,Clearance,Premium,Kids,Young Adult,Black,XS-S,Clearance,Seasonal,1,0,2026-01-06
SKU00107,New Balance Kids Apparel Employee,External Brand,New Balance,Tier 3,Kids Apparel,Buyout,Himaxx,624.68,59.48,1.0,0.4928,Fall,Clearance,Mass,Men,Adult,Brown,M-L,Core Basic,Seasonal,1,0,2025-01-30
SKU00108,Brand A Lifestyle Apparel Among,Himaxx Own,Brand A,Tier 2,Lifestyle Apparel,Own Brand,Himaxx,749.95,91.78,1.0,0.4254,Summer,Clearance,Mass,Men,Young Adult,Black,XL-XXL,Core Basic,Seasonal,1,0,2025-03-16
SKU00109,Brooks Brothers Sportswear Kind,External Brand,Brooks Brothers,Tier 1,Sportswear,Buyout,Himaxx,537.17,68.03,1.0,0.3403,Summer,Mature,Mass,Unisex,Adult,Black,One Size,Core Basic,Core,0,1,2025-04-26
SKU00110,Nike Underwear Other,External Brand,Nike,Tier 1,Underwear,Consignment,Brand Partner,242.08,3.69,0.3393,0.3172,Fall,Mature,Entry,Women,Adult,Red,One Size,Core Basic,Core,0,1,2024-11-30
SKU00111,Puma Training Shoes Worry,External Brand,Puma,Tier 3,Training Shoes,Buyout,Himaxx,630.29,51.31,1.0,0.4819,Fall,Mature,Mass,Men,Youth,Black,M-L,Core Basic,Core,0,1,2024-02-17
